name;sum_pN;sum_pS;ratio;peg;old;desc;effector;secreted;Cg_bestHit;CSEP;pvalue;fdr;stars;eff_new;sec_new
gfam_10001;346.395541411737;631.186013617075;0.548801041117312;1001.peg.2078;CT04_02078;phosphotransferase enzyme family protein;;;GLRG_08811T0;;2.85495472910786e-25;6.04298750994496e-24;***;FALSE;FALSE
gfam_10002;882.934258372205;1749.69155757349;0.504622803116612;1001.peg.953;CT04_00953;FAD dependent oxidoreductase superfamily protein;;Yes;GLRG_03110T0;;3.17832291537114e-50;2.72662218845813e-48;***;FALSE;FALSE
gfam_10003;127.269973036023;298.471231353655;0.426406164704102;1001.peg.7903;CT04_07903;beta-lactamase domain protein;;Yes;;;1.07739898485753e-05;4.7375258965011e-05;***;FALSE;TRUE
gfam_10004;151.965793083133;313.817115631299;0.484249537433377;1001.peg.6388;CT04_06388;major facilitator superfamily transporter;;;GLRG_11733T0;;3.82133242147168e-09;2.4053226524657e-08;***;FALSE;FALSE
gfam_10005;68.7440777540136;377.141544821251;0.182276597998758;1001.peg.12686;CT04_12687;NmrA family protein;;;;;0.998788148610652;1;ns;FALSE;FALSE
gfam_10006;15.1832928473886;141.735281001534;0.10712430059827;1001.peg.1551;CT04_01551;hypothetical protein;;;;;0.999960797497121;1;ns;FALSE;TRUE
gfam_10007;155.164402568488;562.263962433809;0.275963627291432;1001.peg.1474;CT04_01474;UDP-glucosyl transferase family protein (cytochrome P450);;;;;0.360903845888278;0.75932246542744;ns;FALSE;FALSE
gfam_10008;241.325704789191;590.992612989489;0.408339629777205;0005.peg.12383;CH063_12383T0;character(0);character(0);character(0);character(0);character(0);3.8332672438598e-08;2.19039011367269e-07;***;FALSE;FALSE
gfam_10009;93.6438577366574;567.086866250854;0.165131416912825;1005.peg.9735;CBS168_09735;character(0);character(0);character(0);character(0);character(0);0.999997105950782;1;ns;FALSE;FALSE
gfam_1000;185.3878379803;704.685331351904;0.263078894553747;1001.peg.1167;CT04_01167;THO complex subunit 2;;;GLRG_06141T0;;0.580472685708576;1;ns;FALSE;FALSE
gfam_10010;274.704404000877;701.17557902714;0.391776913254768;1001.peg.3832;CT04_03832;hypothetical protein;;;;;7.10218659899224e-08;3.9384300172665e-07;***;FALSE;TRUE
gfam_10011;88.5164985508478;456.868549968578;0.193746097333545;1001.peg.9850;CT04_09850;NmrA-like family protein;;;GLRG_09060T0;;0.997703888087156;1;ns;FALSE;TRUE
gfam_10012;235.513881826503;472.236004022796;0.498720724002937;1001.peg.8608;CT04_08608;heterokaryon incompatibility protein HET-6-like protein;;;GLRG_00310T0;;2.02797970843413e-14;1.96782390584687e-13;***;FALSE;TRUE
gfam_10013;297.0492215654;858.117934818536;0.346163632657574;1001.peg.10564;CT04_10564;carboxylesterase family protein (secreted protein) protein;;Yes;GLRG_05333T0;;7.44757324343237e-05;0.000295485034595476;***;FALSE;TRUE
gfam_10014;148.032879127631;762.306623926489;0.194190729138812;1001.peg.12095;CT04_12095;glycosyl hydrolase family 43;;Yes;GLRG_01024T0;;0.999876232484567;1;ns;FALSE;TRUE
gfam_10015;655.668884726228;1285.1267540241;0.510197832760964;1001.peg.1128;CT04_01128;GNAT family acetyltransferase;;;GLRG_07287T0;;5.85265793754684e-39;2.70769039010649e-37;***;FALSE;FALSE
gfam_10016;39.9939948956613;261.545332737829;0.152914198380098;1001.peg.11676;CT04_11676;EC43 protein;;Yes;;EFF;0.999817032936952;1;ns;FALSE;FALSE
gfam_10017;61.482530941752;137.417840984223;0.447413017854144;1001.peg.12243;CT04_12243;hypothetical protein;;;GLRG_11525T0;;0.000792454166719928;0.00274771179756155;**;FALSE;FALSE
gfam_10018;155.107014242137;455.247135763003;0.340709478560858;1001.peg.3374;CT04_03374;L-asparaginase;;Yes;GLRG_09085T0;;0.00520395413903692;0.0159328815686798;*;FALSE;FALSE
gfam_10019;115.625025735627;225.241529821947;0.513337952494945;1001.peg.6274;CT04_06274;hypothetical protein;;;;;1.90424010887649e-08;1.12176109005848e-07;***;FALSE;FALSE
gfam_1001;141.400178267057;1264.79791395046;0.111796656768202;1001.peg.5620;CT04_05620;L-amino acid oxidase;;;GLRG_06406T0;;1;1;ns;FALSE;FALSE
gfam_10020;244.39567131421;373.377814056382;0.654553275833645;1001.peg.2000;CT04_02000;ferric reductase transmembrane component 5;;;GLRG_03480T0;;1.16302669546606e-25;2.50263252708759e-24;***;FALSE;TRUE
gfam_10021;126.215374336213;253.060416465248;0.498755894340142;1001.peg.11956;CT04_11956;GDSL-like Lipase/Acylhydrolase;;Yes;GLRG_07704T0;;2.23530556819437e-08;1.30433100587341e-07;***;FALSE;TRUE
gfam_10022;55.0065483986189;280.690985619081;0.19596834674722;1001.peg.6117;CT04_06117;C6 finger domain-containing protein;;;GLRG_10995T0;;0.986535450364414;1;ns;FALSE;TRUE
gfam_10023;192.44022373888;846.110358425854;0.227441044566463;1001.peg.6915;CT04_06915;C6 finger domain-containing protein;;;GLRG_00161T0;;0.98012389045219;1;ns;FALSE;FALSE
gfam_10024;321.173421246211;694.176436212716;0.462668285023427;1002.peg.4073;CBS495_04073;character(0);character(0);character(0);character(0);character(0);2.01366709274019e-15;2.10363254188358e-14;***;FALSE;FALSE
gfam_10025;165.184646891722;406.376880115836;0.406481409190004;1001.peg.6457;CT04_06457;cytochrome P450 oxidoreductase;;;GLRG_01245T0;;5.34995301568685e-06;2.44283720004256e-05;***;FALSE;FALSE
gfam_10026;113.93903521752;227.204398058669;0.501482524946979;1001.peg.8989;CT04_08989;alcohol dehydrogenase;;;GLRG_08565T0;;7.18057679245421e-08;3.98019648136294e-07;***;FALSE;FALSE
gfam_10027;55.9391384985914;218.520616630709;0.255990209807647;1001.peg.2548;CT04_02548;cytochrome P450;;Yes;GLRG_09494T0;;0.628382896730505;1;ns;FALSE;TRUE
gfam_10028;140.881284829206;415.677720003476;0.338919499529654;1001.peg.2551;CT04_02551;ribonuclease E inhibitor RraA/dimethylmenaquinone methyltransferase (DlpA domain-containing);;;GLRG_10941T0;;0.00838668657465253;0.0248834488978582;*;FALSE;TRUE
gfam_10029;61.5240518362155;240.769582576235;0.255530832333171;1001.peg.3426;CT04_03426;C6 zinc finger domain protein;;Yes;;;0.616232164925738;1;ns;FALSE;TRUE
gfam_1002;149.063257714781;557.707827090007;0.267278403626786;1001.peg.13070;CT04_13071;DNA polymerase Phi;;;GLRG_06457T0;;0.500057100269573;1;ns;FALSE;FALSE
gfam_10030;181.123818948879;306.126804145712;0.591662724387463;1001.peg.3893;CT04_03893;cytochrome P450 71B25;;Yes;GLRG_06732T0;;2.6084078871583e-16;2.9078585000214e-15;***;FALSE;FALSE
gfam_10031;68.6364291013242;203.573163947241;0.33715853195224;1004.peg.10521;CBS127_10521;character(0);character(0);character(0);character(0);character(0);0.0515837749349346;0.133509734367061;ns;FALSE;TRUE
gfam_10032;672.45643603036;1681.33180501151;0.399954627650523;1001.peg.11554;CT04_11554;cupin domain protein;;;GLRG_01661T0;;3.23850082920959e-18;4.21200198208645e-17;***;FALSE;FALSE
gfam_10033;304.954847525799;588.686669945893;0.518025739488594;1001.peg.6144;CT04_06144;carboxypeptidase Y;;Yes;GLRG_08475T0;;9.5233163431502e-20;1.37992214663499e-18;***;FALSE;FALSE
gfam_10034;115.045619801397;430.388390675517;0.267306512661336;1001.peg.6140;CT04_06140;carboxypeptidase Y;;Yes;GLRG_07632T0;;0.497992386440015;0.997370651506486;ns;FALSE;TRUE
gfam_10035;79.4493294253486;101.468151956584;0.782997698226961;1002.peg.8114;CBS495_08114;character(0);character(0);character(0);character(0);character(0);4.87005758384634e-12;3.92330385206128e-11;***;FALSE;FALSE
gfam_10036;56.9372642168506;180.34265103697;0.315717130082437;1001.peg.1632;CT04_01632;extracellular aldonolactonase protein (YkgB );;Yes;GLRG_08329T0;;0.143549365692599;0.338159389558452;ns;TRUE;TRUE
gfam_10037;78.2630320243012;226.964796805978;0.344824541627946;1001.peg.7647;CT04_07647;efflux pump antibiotic resistance;;;GLRG_07229T0;;0.0320445400813238;0.0858897107828405;ns;FALSE;TRUE
gfam_10038;200.024932424009;817.259079724636;0.244750945430187;1001.peg.2469;CT04_02469;hypothetical protein;;;GLRG_04411T0;;0.864061833483114;1;ns;FALSE;TRUE
gfam_10039;113.560400441355;455.811082585236;0.249139182393881;1001.peg.1575;CT04_01575;shikimate quinate 5-protein;;;GLRG_07127T0;;0.739624821569451;1;ns;FALSE;FALSE
gfam_1003;275.594478596359;2702.18611874328;0.101989450942976;1001.peg.10452;CT04_10452;HEAT repeat protein (down-regulated in metastasis);;;GLRG_06461T0;;1;1;ns;FALSE;FALSE
gfam_10040;93.633367527337;232.541448360009;0.402652379555058;1001.peg.10908;CT04_10908;NmrA-like family protein;;;GLRG_09060T0;;0.000581831418136189;0.00206324779374109;**;TRUE;TRUE
gfam_10041;154.093642194547;367.208928658375;0.419634791445675;1001.peg.7088;CT04_07088;MFS multidrug transporter;;;GLRG_07104T0;;2.74296661505619e-06;1.29585665687228e-05;***;TRUE;TRUE
gfam_10042;264.477941278778;622.061914201812;0.425163372392182;1004.peg.12356;CBS127_12356;character(0);character(0);character(0);character(0);character(0);4.98693475293209e-10;3.38223836594148e-09;***;FALSE;TRUE
gfam_10043;56.768924879446;97.0628895733792;0.58486745170026;1001.peg.3865;CT04_03865;D-3-phosphoglycerate dehydrogenase;;;GLRG_05470T0;;3.94380324593566e-06;1.8271826626556e-05;***;FALSE;FALSE
gfam_10044;146.830444785509;541.192493316721;0.271309093527244;1001.peg.3868;CT04_03868;4-hydroxy-2-oxovalerate aldolase (|HpcH/HpaI aldolase);;;GLRG_01597T0;;0.426194845725061;0.876027767065614;ns;FALSE;FALSE
gfam_10045;150.867201538754;551.267950853156;0.273673086391597;1001.peg.200;CT04_00200;sarcosine oxidase (fructosyl amino acid oxidase);;;GLRG_04225T0;;0.389062834926624;0.810146272888521;ns;FALSE;FALSE
gfam_10046;208.839249996959;780.129039110002;0.267698341591296;1001.peg.9582;CT04_09582;hypothetical protein;;;;;0.477378371653178;0.962783656608324;ns;FALSE;TRUE
gfam_10047;216.5442965824;569.254553777325;0.380399761662874;1001.peg.2250;CT04_02250;pisatin demethylase (benzoate 4-monooxygenase cytochrome P450);;;GLRG_09581T0;;6.79755792098769e-06;3.06600157759312e-05;***;FALSE;FALSE
gfam_10048;283.855638265763;1324.18389108239;0.214362703078753;1001.peg.3930;CT04_03930;enoyl-CoA hydratase isomerase family protein;;;GLRG_01788T0;;0.999662261980584;1;ns;FALSE;FALSE
gfam_10049;148.118812305667;489.410573971436;0.302647348020544;1001.peg.10288;CT04_10288;related to amidohydrolase;;;GLRG_00275T0;;0.0938521511034816;0.230344972602217;ns;FALSE;TRUE
gfam_1004;364.075623095919;1437.62180575016;0.253248539803515;1001.peg.10466;CT04_10466;Zn(II)2Cys6 transcription factor;;;GLRG_06467T0;;0.810669302890619;1;ns;FALSE;TRUE
gfam_10050;86.2588919602269;471.384400191409;0.182990552774341;1001.peg.12916;CT04_12917;fungal specific transcription factor;;;GLRG_01575T0;;0.999659754436834;1;ns;FALSE;TRUE
gfam_10051;166.959253247606;431.965470801084;0.386510646181924;1001.peg.8292;CT04_08292;tyrosinase;;;GLRG_07602T0;;4.04820689372157e-05;0.000166583456484337;***;FALSE;FALSE
gfam_10052;178.731795074142;1229.69765098307;0.145346130352657;1001.peg.1449;CT04_01449;hypothetical protein;;Yes;;;1;1;ns;FALSE;FALSE
gfam_10053;62.9891787821067;478.254309831418;0.131706453004699;1001.peg.4111;CT04_04111;short-chain oxidoreductase;;;GLRG_05417T0;;0.999999996202711;1;ns;FALSE;FALSE
gfam_10054;65.2823036001979;516.134959137019;0.126483010779487;1001.peg.6398;CT04_06398;HET domain-containing protein;;;GLRG_11089T0;;0.999999999851448;1;ns;FALSE;FALSE
gfam_10055;256.779268996919;586.291032118205;0.437972363433914;1001.peg.4202;CT04_04202;hypothetical protein;;;;;7.26505025448585e-11;5.28716073014661e-10;***;FALSE;FALSE
gfam_10056;204.207959131373;733.427212583362;0.278429755029252;1001.peg.11567;CT04_11567;hypothetical protein;;Yes;GLRG_07843T0;;0.297511516534092;0.642177383147033;ns;FALSE;FALSE
gfam_10057;227.266886474257;534.903942381835;0.424874203510778;1001.peg.6810;CT04_06810;class III aminotransferase;;;GLRG_06802T0;;7.69228023994176e-09;4.71138525901681e-08;***;FALSE;FALSE
gfam_10058;188.228199095493;518.717810008226;0.362872057723462;1001.peg.11176;CT04_11176;cytochrome P450;;;GLRG_00910T0;;0.000235141745515016;0.000872786868596424;***;FALSE;TRUE
gfam_10059;116.689983985547;755.024828564672;0.154551187683958;1001.peg.11168;CT04_11168;allantoin transporter;;;GLRG_01846T0;;0.999999997450798;1;ns;FALSE;FALSE
gfam_1005;224.42123883068;1614.2632653893;0.139023939677248;1002.peg.6449;CBS495_06449;character(0);character(0);character(0);character(0);character(0);1;1;ns;FALSE;FALSE
gfam_10060;106.786463066776;333.864950825382;0.319849276789247;1001.peg.11173;CT04_11173;MFS transporter;;;GLRG_05538T0;;0.0550832774900892;0.141774046613673;ns;FALSE;TRUE
gfam_10061;144.903749208657;540.804078093516;0.267941302734777;1001.peg.5867;CT04_05867;related to cercosporin resistance protein (Zn(II)2Cys6 transcription factor);;;GLRG_11871T0;;0.484597422421019;0.974763200317062;ns;FALSE;FALSE
gfam_10062;107.326425879087;438.955967600189;0.244503854147035;1001.peg.5871;CT04_05871;cytochrome b2 (glycolate oxidase);;;GLRG_02804T0;;0.806493035858123;1;ns;FALSE;FALSE
gfam_10063;142.412775132229;572.262402692298;0.248859219935166;1001.peg.12048;CT04_12048;MFS multidrug transporter;;;GLRG_05081T0;;0.783409988393537;1;ns;FALSE;TRUE
gfam_10064;269.292990620089;895.014199247384;0.300881249533847;1001.peg.5058;CT04_05058;DUF1479 domain protein;;;GLRG_11412T0;;0.0442890403667856;0.11630249927252;ns;FALSE;FALSE
gfam_10065;138.654247044265;570.841159130306;0.242894621080774;1001.peg.5059;CT04_05059;;;;;;0.838462751749034;1;ns;FALSE;FALSE
gfam_10066;352.688685702967;917.529301493667;0.384389561323892;1001.peg.4491;CT04_04491;related to fusarubin cluster-esterase;;Yes;GLRG_09652T0;;6.58713726285124e-09;4.05945652250119e-08;***;FALSE;TRUE
gfam_10067;98.2203281327163;686.087891569792;0.14315997897585;1001.peg.4481;CT04_04481;fungal specific transcription factor;;;GLRG_01836T0;;0.999999999806061;1;ns;FALSE;FALSE
gfam_10068;110.405888657584;539.194947266628;0.204760614351583;1001.peg.501;CT04_00501;sterigmatocystin biosynthesis monooxygenase;;;GLRG_01514T0;;0.99599641491478;1;ns;FALSE;FALSE
gfam_10069;96.8569280150457;279.546342699355;0.346478966885332;1001.peg.3748;CT04_03748;major facilitator superfamily transporter, partial;;;GLRG_11838T0;;0.0161420594078929;0.0454871084554807;*;FALSE;TRUE
gfam_1006;316.844354516015;1199.90325413708;0.264058250882798;1001.peg.11706;CT04_11706;dihydroxyacid dehydratase;;;GLRG_06545T0;;0.556389163744654;1;ns;FALSE;FALSE
gfam_10070;111.82108294632;671.736952892502;0.166465582196748;0002.peg.995;CGGC5_997;character(0);character(0);character(0);character(0);character(0);0.999999473368208;1;ns;FALSE;FALSE
gfam_10071;863.763478846958;1842.54278870245;0.468788830383275;1001.peg.3724;CT04_03724;hypothetical protein;;;GLRG_01896T0;;4.67635763714322e-40;2.27735100870501e-38;***;FALSE;FALSE
gfam_10072;777.529072437227;2000.68654012673;0.388631130785724;1003.peg.10585;CBS130_10585;character(0);character(0);character(0);character(0);character(0);1.73372519522178e-18;2.29404251061317e-17;***;FALSE;FALSE
gfam_10073;116.380523101321;340.716055832869;0.341576280627083;1001.peg.2198;CT04_02198;beta-glucosidase D protein;;Yes;GLRG_10665T0;;0.0141584504172646;0.0403361703772258;*;FALSE;TRUE
gfam_10074;158.182124461256;594.390926340016;0.266124729452498;1001.peg.750;CT04_00750;alkaline serine protease Alp1;;Yes;GLRG_05319T0;;0.516415770108463;1;ns;FALSE;FALSE
gfam_10075;248.440632212825;850.120047540421;0.292241822706824;1001.peg.11711;CT04_11711;3-oxoacyl-(acyl-carrier-protein) reductase;;;GLRG_05417T0;;0.108424515683428;0.262774775708723;ns;FALSE;FALSE
gfam_10076;337.448728507;923.988840244328;0.36520866249615;1001.peg.1447;CT04_01447;fumarylacetoacetate hydrolase;;;;;7.87787594530833e-07;3.94930359889799e-06;***;FALSE;TRUE
gfam_10077;341.294073762273;794.278927248954;0.42969045514574;1001.peg.7872;CT04_07872;NAD dependent epimerase/dehydratase family protein;;;GLRG_04796T0;;5.74447028515939e-13;4.98084792998359e-12;***;FALSE;FALSE
gfam_10078;126.486140115526;316.065977544577;0.400189039953491;1001.peg.7863;CT04_07863;cutinase precursor;;Yes;GLRG_11172T0;;0.000118312029378751;0.000456678792780794;***;TRUE;TRUE
gfam_10079;601.758664401222;1308.90492048033;0.459742075215361;1001.peg.10405;CT04_10405;HET and ankyrin domain protein;;;GLRG_07446T0;;6.68892593820154e-27;1.56687787709698e-25;***;FALSE;FALSE
gfam_1007;235.468434380822;1272.38126817875;0.18506122360467;1001.peg.1390;CT04_01390;homoserine kinase;;;GLRG_06589T0;;0.99999996335161;1;ns;FALSE;FALSE
gfam_10080;150.1258326598;795.635030207977;0.188686806085646;1001.peg.13113;CT04_13114;hypothetical protein;;;GLRG_01952T0;;0.99997593592789;1;ns;FALSE;FALSE
gfam_10081;308.858605277368;1001.29914207905;0.308457874672767;1001.peg.833;CT04_00833;hypothetical protein;;Yes;;EFF;0.0130772769576851;0.0375450012654814;*;FALSE;TRUE
gfam_10082;274.641580688677;777.968459874064;0.35302405541368;1001.peg.7176;CT04_07176;CROL alpha;;;GLRG_03656T0;;4.36816628142015e-05;0.000179067170916192;***;FALSE;FALSE
gfam_10083;82.0721285978137;287.052612510028;0.28591319159287;1001.peg.3365;CT04_03365;hypothetical protein;;;GLRG_09600T0;;0.304001060319712;0.654810398300888;ns;FALSE;FALSE
gfam_10084;207.566287394866;584.260250158589;0.355263407597086;1001.peg.9581;CT04_09581;alpha/beta hydrolase fold-3 domain containing protein;;;GLRG_09737T0;;0.000241176511381578;0.000894673690846783;***;FALSE;FALSE
gfam_10085;108.091785719373;776.591974166109;0.139187358761259;1001.peg.2720;CT04_02720;hypothetical protein;;;;;0.99999999999727;1;ns;FALSE;FALSE
gfam_10086;259.027807323354;794.49302078403;0.326029053178765;1001.peg.2231;CT04_02231;hypothetical protein, partial;EFF;Yes;GLRG_01794T0;EFF;0.00284034527045889;0.00905805825542208;**;FALSE;FALSE
gfam_10087;213.491751360974;471.093359003647;0.453183529932378;1001.peg.5477;CT04_05477;hypothetical protein;;Yes;;EFF;3.82752921584268e-10;2.61921888336112e-09;***;FALSE;TRUE
gfam_10088;298.829534218754;770.373762569179;0.387902014240678;1001.peg.9236;CT04_09236;;;;;;4.26043849245094e-08;2.41954056252563e-07;***;FALSE;FALSE
gfam_10089;267.777092778593;924.206251062061;0.289737374607534;1001.peg.2524;CT04_02524;molybdenum cofactor biosynthesis protein;;;GLRG_05878T0;;0.114479689808163;0.275644963155193;ns;FALSE;TRUE
gfam_1008;131.877734974618;560.036441213364;0.235480631740489;1001.peg.279;CT04_00279;hypothetical protein;;;GLRG_06608T0;;0.904542382465289;1;ns;FALSE;FALSE
gfam_10090;470.750330047636;1070.68264963936;0.439673072320917;1003.peg.2363;CBS130_02363;character(0);character(0);character(0);character(0);character(0);1.15661308058897e-18;1.55101095713763e-17;***;FALSE;FALSE
gfam_10091;388.980037718276;1331.43984661588;0.292149914776056;1001.peg.12645;CT04_12646;methyltransferase domain-containing protein;;;GLRG_10260T0;;0.0560575555915038;0.14399555326836;ns;FALSE;FALSE
gfam_10092;265.347729946475;538.643559578767;0.492622115734538;1001.peg.6849;CT04_06849;short-chain dehydrogenase/reductase;;;GLRG_10949T0;;2.52677413508346e-15;2.60811411520885e-14;***;FALSE;TRUE
gfam_10093;83.6660207279341;515.470884922259;0.162309886310169;1001.peg.7457;CT04_07457;nucleotide-sugar transporter;;;GLRG_06553T0;;0.999995738976481;1;ns;FALSE;FALSE
gfam_10094;142.751132420041;496.312059007056;0.287623743629432;1001.peg.2074;CT04_02074;tyrosinase central domain-containing protein;;Yes;GLRG_09093T0;;0.212128248153083;0.478813264780456;ns;FALSE;FALSE
gfam_10095;60.4798726739523;289.045273573128;0.209240137111777;1001.peg.12084;CT04_12084;hypothetical protein;;;GLRG_02541T0;;0.968051818922493;1;ns;FALSE;FALSE
gfam_10096;96.0477624081667;443.766337211259;0.216437693340498;1001.peg.6521;CT04_06521;hypothetical protein;;;GLRG_08176T0;;0.973209403268236;1;ns;FALSE;TRUE
gfam_10097;207.572173188077;727.315735159661;0.285394861067472;1001.peg.3066;CT04_03066;SAM-dependent methyltransferase COQ5 family protein;;;GLRG_02678T0;;0.18857816586408;0.431064330439966;ns;FALSE;FALSE
gfam_10098;287.189972899581;1073.49013314842;0.267529215249782;1001.peg.204;CT04_00204;hypothetical protein;;Yes;;;0.48010323504913;0.967676568667564;ns;FALSE;FALSE
gfam_10099;46.5988017916801;379.812198347976;0.122689060526137;1001.peg.8976;CT04_08976;base excision DNA repair protein;;;GLRG_10972T0;;0.99999998344376;1;ns;FALSE;TRUE
gfam_1009;187.121472812662;2076.5731226558;0.0901107072855423;1001.peg.11820;CT04_11820;mRNA 3'-end-processing protein RNA14;;;GLRG_06681T0;;1;1;ns;FALSE;FALSE
gfam_100;687.778701534276;2666.02937896313;0.257978665562105;1001.peg.3890;CT04_03890;phosphate-repressible phosphate permease;;;GLRG_09610T0;;0.769645883935101;1;ns;FALSE;TRUE
gfam_10100;167.532745260548;430.400282929102;0.389248687571483;1001.peg.3829;CT04_03829;prostacyclin synthase;;;GLRG_11642T0;;2.47242233794514e-05;0.000104582944294199;***;FALSE;TRUE
gfam_10101;151.454596266994;325.693438964094;0.465021944404877;1001.peg.2195;CT04_02195;aflatoxin biosynthesis ketoreductase Nor-1;;;GLRG_06634T0;;3.78880880876556e-08;2.16594127576121e-07;***;FALSE;TRUE
gfam_10102;123.071354304764;401.019884379444;0.306895889951218;1001.peg.9467;CT04_09467;hypothetical protein;;Yes;;EFF;0.0936600273890424;0.229960575208047;ns;FALSE;TRUE
gfam_10103;191.91332563927;548.61974262982;0.349811191116327;1001.peg.6176;CT04_06176;hypothetical protein;;;GLRG_08973T0;;0.00081472511064925;0.00281964976846123;**;FALSE;FALSE
gfam_10104;200.058144787808;878.432983052806;0.227744345496396;1001.peg.11548;CT04_11548;hypothetical protein;;;;;0.979718983076267;1;ns;FALSE;FALSE
gfam_10105;58.4695331228121;410.639311801099;0.142386594372467;1001.peg.11482;CT04_11482;major facilitator superfamily transporter;;;GLRG_10288T0;;0.999999615063938;1;ns;FALSE;FALSE
gfam_10106;67.5092614371398;202.520019813424;0.33334611313654;1001.peg.32;CT04_00032;NADH-ubiquinone oxidoreductase;;;GLRG_10162T0;;0.0602606814269531;0.15366473763873;ns;TRUE;TRUE
gfam_10107;931.39655122864;1423.33575894066;0.654375852906165;1001.peg.6419;CT04_06419;RTA1 domain containing protein (7-aminocholesterol resistance protein);;;GLRG_06917T0;;1.20731217654051e-92;6.25580877396231e-90;***;FALSE;FALSE
gfam_10108;567.344677142565;1111.4294564039;0.510463956010527;1001.peg.11232;CT04_11232;hypothetical protein;;Yes;;;6.64277877930002e-34;2.47271713526013e-32;***;FALSE;FALSE
gfam_10109;509.733459164699;949.36471729093;0.536920584766679;1001.peg.763;CT04_00763;hypothetical protein;;Yes;GLRG_01903T0;;9.51684449344158e-35;3.66908343952507e-33;***;FALSE;TRUE
gfam_1010;303.212638678477;1682.92690275646;0.180169820912511;1001.peg.11814;CT04_11814;surfeit locus protein 6;;;GLRG_06715T0;;0.999999999974944;1;ns;FALSE;TRUE
gfam_10110;74.504640131704;525.572471691841;0.141759023055128;1001.peg.3224;CT04_03224;regulatory protein (AmdA );;;GLRG_08853T0;;0.999999981533766;1;ns;FALSE;TRUE
gfam_10111;481.384003373209;894.265876260851;0.538300762840237;1001.peg.3732;CT04_03732;ankyrin repeat protein;;;;;5.75758645182704e-33;1.99956501064256e-31;***;FALSE;FALSE
gfam_10112;563.905772239847;858.767078266585;0.656645773354617;1001.peg.1364;CT04_01364;hypothetical protein;;;GLRG_00917T0;;2.89469228494523e-57;3.17778337789666e-55;***;FALSE;FALSE
gfam_10113;459.286731420014;1078.09313583423;0.426017675239734;1001.peg.5278;CT04_05278;ankyrin repeat protein (B-cell lymphoma 3-encoded protein);;;GLRG_01083T0;;2.26004823577268e-16;2.54137715678813e-15;***;FALSE;FALSE
gfam_10114;182.160805031366;720.556642788999;0.252805670247228;1001.peg.10819;CT04_10819;reverse transcriptase;;;;;0.749565628202088;1;ns;FALSE;FALSE
gfam_10115;293.800387687198;529.223002126033;0.555154228948706;1001.peg.4112;CT04_04112;related to C6 zinc-finger protein PRO1A;;;GLRG_00869T0;;2.22693057180362e-22;3.88259200903689e-21;***;FALSE;TRUE
gfam_10116;193.558802456035;655.997387115212;0.295060325327242;1001.peg.13106;CT04_13107;LysM domain-containing protein;;;GLRG_08246T0;;0.106466126752055;0.25846368177401;ns;FALSE;FALSE
gfam_10117;132.048385538575;534.301277944965;0.247142185484677;1001.peg.3898;CT04_03898;;;;;;0.789120132734366;1;ns;FALSE;FALSE
gfam_10118;259.955222127504;464.487302946434;0.559660555796683;1001.peg.8181;CT04_08181;hypothetical protein;;;GLRG_09392T0;;2.43011179649957e-20;3.6688830858121e-19;***;FALSE;FALSE
gfam_10119;157.513684802835;616.798704926722;0.255372917525092;1001.peg.3128;CT04_03128;dimeric alpha-beta barrel doman containing protein;;;;;0.680325381309095;1;ns;FALSE;FALSE
gfam_1011;197.049430444396;1391.8086426154;0.141577961517837;1001.peg.2172;CT04_02172;MBOAT family protein;;;GLRG_00675T0;;1;1;ns;FALSE;FALSE
gfam_10120;163.213132091088;420.916793703691;0.38775628469218;1001.peg.11468;CT04_11468;aminodeoxychorismate lyase;;;GLRG_10192T0;;4.64936137636546e-05;0.000189993145960373;***;FALSE;FALSE
