name;sum_pN;sum_pS;ratio
gfam_10;380.138809049504;1613.15990118011;0.235648560797607
gfam_100;174.339877437292;1019.25292124186;0.171046728249625
gfam_1000;89.7185145718892;666.86701844414;0.134537339665126
gfam_10000;144.2882895202;1151.16978269449;0.125340581110869
gfam_10001;250.723538733884;610.780880450652;0.410496704724765
gfam_10002;591.922161398711;1445.12741043342;0.409598598106436
gfam_10003;106.880896069917;322.174043141876;0.331748936157621
gfam_10004;154.508363815305;392.783400577786;0.393367855128355
gfam_10005;54.0648843187657;426.005034033708;0.126911374278473
gfam_10006;15.5771168046251;188.863133140866;0.0824783352132927
gfam_10007;127.866753860221;611.527117859859;0.209094167904952
gfam_10008;161.543418009973;502.810714338628;0.321280779035225
gfam_10009;69.7776619951717;663.610886072044;0.105148458923256
gfam_1001;76.6380910919774;1316.41950222791;0.0582170736321326
gfam_10010;238.975989430008;773.60785906613;0.308911015612601
gfam_10011;62.4410361408696;579.096585868486;0.107824908080273
gfam_10012;216.282639505194;430.151429046128;0.502805814186894
gfam_10013;219.752038005775;816.742270582458;0.269059219683903
gfam_10014;91.8798964509304;796.525741015676;0.11535081883703
gfam_10015;594.397833606965;1428.2894120259;0.416160638454826
gfam_10016;38.4835049747184;335.44333468169;0.114724309580443
gfam_10017;49.4773698140397;147.000898671355;0.336578689390564
gfam_10018;61.1701386762876;442.878840579844;0.138119352453597
gfam_10019;89.8676907132255;246.541082093366;0.364514059685973
gfam_1002;57.5317786339869;473.259603161132;0.121564947123532
gfam_10020;199.364362842228;406.49002993262;0.490453266160734
gfam_10021;83.737794031817;266.829664815752;0.313824904324781
gfam_10022;60.5591426639763;386.860776794815;0.156539887981706
gfam_10023;141.652880143659;904.642735042586;0.156584333965818
gfam_10024;239.797051298968;658.745298490625;0.364020892214961
gfam_10025;146.333944133463;496.469467621629;0.294749130967683
gfam_10026;106.839698763785;321.543642967278;0.332271220720906
gfam_10027;42.3632588579198;214.63270129137;0.197375603079283
gfam_10028;102.201847270623;390.922544045017;0.261437588666809
gfam_10029;46.6161906010697;270.107353494889;0.172583937452676
gfam_1003;358.756495128485;2312.02131373253;0.155170063959881
gfam_10030;169.079804056001;335.163415679613;0.504469748624435
gfam_10031;43.7350217314933;179.162980319556;0.244107469375019
gfam_10032;529.955634268133;1754.56814144378;0.302043347163506
gfam_10033;257.368305073906;583.197675624465;0.441305436957249
gfam_10034;39.4400579005883;426.966719393808;0.092372674752224
gfam_10035;53.5095403475455;87.8660566003917;0.608989892318747
gfam_10036;46.2170334441838;201.778172537554;0.229048726445285
gfam_10037;71.4955932634659;270.025287689967;0.264773695364245
gfam_10038;227.73716666497;1006.68220732234;0.226225481098672
gfam_10039;96.8295757890619;549.141490117947;0.176329010886182
gfam_1004;155.479142774728;839.132066648574;0.185285664741307
gfam_10040;80.4205963980674;284.012830936529;0.283158321167679
gfam_10041;104.748852751166;342.014437688246;0.306270265837861
gfam_10042;213.680167923546;671.328724243363;0.31829439171455
gfam_10043;42.3458495846523;87.7669640765088;0.482480509952906
gfam_10044;107.890699386962;542.818977610944;0.198759998889153
gfam_10045;110.175834825027;571.714726958169;0.192711206533408
gfam_10046;157.677931609846;922.633473667838;0.17089986013949
gfam_10047;97.2125229188661;498.403769478156;0.195047728111388
gfam_10048;196.54463488495;1416.73913063793;0.138730293131982
gfam_10049;114.700529825111;505.412106681306;0.226944563275839
gfam_1005;76.736054906678;1540.91234800552;0.0497991044110985
gfam_10051;197.562109957425;688.883631212669;0.286785896784408
gfam_10052;136.76078640139;1585.4100281371;0.0862620924393215
gfam_10053;49.5096095474018;739.357818137346;0.0669629891412128
gfam_10054;57.959363475865;729.638421905154;0.079435733831735
gfam_10055;179.828444132185;535.303172103191;0.335937564923526
gfam_10056;140.659601802597;713.121846117671;0.197244836304435
gfam_10057;206.660278289773;604.437378735334;0.34190519243229
gfam_10058;104.227324256292;406.056093351185;0.256682083985252
gfam_10059;99.9906933259318;841.262332691984;0.118857922719502
gfam_1006;175.263165555424;1309.96810611791;0.133791933358451
gfam_10060;91.8788465946097;361.942098050106;0.253849571767389
gfam_10061;70.7627266807589;514.936495456976;0.13742029804658
gfam_10062;112.654437597245;607.204747662924;0.185529573065496
gfam_10063;141.674402986789;777.749105971257;0.182159518923349
gfam_10064;166.547056659277;914.708149037307;0.182076716857241
gfam_10065;100.795509583461;668.881644984889;0.150692593135424
gfam_10067;72.2206062936632;754.807137305638;0.0956808735956872
gfam_10068;86.6730113710483;590.010948011721;0.146900683221435
gfam_10069;76.1053178465337;346.7685519498;0.219470068489807
gfam_1007;207.95138575535;1658.12559211145;0.125413531245571
gfam_10070;69.9763689417864;743.434774625724;0.0941257677608846
gfam_10071;450.917143219993;1392.28039057896;0.323869492288464
gfam_10072;586.872832397139;1923.1828880118;0.305157058153659
gfam_10073;41.2686032822478;270.558464902795;0.152531185069647
gfam_10075;196.108942869947;965.384335265631;0.20314079657817
gfam_10076;122.918815314548;818.237435611864;0.150223895858091
gfam_10077;115.200792481601;448.683993960729;0.256752623298801
gfam_10078;162.3514760204;554.999622366592;0.292525381059021
gfam_10079;420.987748928653;1071.57064228007;0.392869804675575
gfam_1008;59.9675279454033;539.894382561848;0.111072702147505
gfam_10080;112.469995033469;904.70753795039;0.124316412006768
gfam_10081;218.764153445695;1008.81245937709;0.21685314392407
gfam_10082;200.65673801268;860.036272689572;0.233311947861421
gfam_10083;73.1995633388159;411.738663310758;0.177781612128004
gfam_10084;161.505582042159;685.175622087564;0.235714139318166
gfam_10085;86.4933044032954;943.255834023463;0.0916965485751174
gfam_10086;189.298334860306;788.481360594096;0.240079657327189
gfam_10087;232.488684435996;623.561234043452;0.372840182716995
gfam_10088;204.982626525586;688.63739049089;0.297664096309766
gfam_10089;186.968530542165;926.543852459867;0.201791345380777
gfam_1009;368.578562689477;1941.52462942981;0.189839756396869
gfam_10090;245.947846761834;747.000609313801;0.32924718359703
gfam_10091;278.743051833127;1373.74604566091;0.202907264201823
gfam_10092;157.532777927823;453.035310264058;0.347727372146782
gfam_10093;64.1238585795273;650.483451715911;0.0985787700061774
gfam_10094;101.182845292662;460.131543216373;0.219899823831642
gfam_10095;56.7919164258002;354.53906592449;0.160185214787856
gfam_10096;93.2243177897954;587.125137711581;0.158781002212157
gfam_10097;117.940456894091;652.328099050713;0.180799289599393
gfam_10098;189.541146034904;1054.3294138489;0.179774123291289
gfam_10099;53.5506154814925;668.326819097406;0.0801263901900781
gfam_101;149.311455030154;862.1636374272;0.173182269059407
