all_syn	all_nonSyn	tip_syn	tip_nonSyn	S	N	comparisons
001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
002	1.0	3.0	1.0	3.0	2.0	4.0	2.0
003	0.0	2.0	0.0	2.0	1.0	2.0	1.0
004	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
005	0.0	0.0	0.0	0.0	0.0	0.0	0.0
006	1.0	2.0	1.0	1.0	0.9990000000000006	8.001	2.0
007	1.0	0.0	1.0	0.0	1.0	2.0	1.0
008	2.0	0.0	1.0	0.0	2.0	4.0	1.0
009	1.0	1.0	1.0	1.0	1.6680000000000001	4.332	2.0
010	0.0	0.0	0.0	0.0	0.0	0.0	0.0
011	1.0	0.0	1.0	0.0	1.0	2.0	1.0
012	0.0	2.0	0.0	2.0	2.0	4.0	2.0
013	1.0	2.0	1.0	0.0	1.3330000000000002	4.667	1.0
014	0.0	2.0	0.0	2.0	2.0	4.0	2.0
015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
016	1.0	2.0	1.0	0.0	2.333	6.667	1.0
017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
018	2.0	0.0	1.0	0.0	2.0	4.0	1.0
019	1.0	0.0	1.0	0.0	1.0	2.0	1.0
020	0.0	0.0	0.0	0.0	0.0	0.0	0.0
021	1.0	0.0	1.0	0.0	0.3330000000000002	2.667	1.0
022	1.0	0.0	1.0	0.0	1.0	2.0	1.0
023	1.0	0.0	1.0	0.0	1.0	2.0	1.0
024	2.0	0.0	1.0	0.0	2.0	4.0	1.0
025	0.0	0.0	0.0	0.0	0.0	0.0	0.0
026	3.0	0.0	3.0	0.0	1.6680000000000001	4.332	2.0
027	1.0	1.0	1.0	1.0	1.0	2.0	1.0
028	2.0	0.0	2.0	0.0	2.0	4.0	2.0
029	1.0	2.0	1.0	1.0	3.0	6.0	2.0
030	1.0	0.0	1.0	0.0	1.0	2.0	1.0
031	1.0	2.0	1.0	2.0	0.3330000000000002	2.667	1.0
032	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
033	2.0	0.0	0.0	0.0	2.0	4.0	0.0
034	2.0	3.0	1.0	2.0	3.4	5.6	2.0
035	1.0	0.0	1.0	0.0	1.4	1.6	1.0
