all_syn	all_nonSyn	tip_syn	tip_nonSyn	S	N	comparisons
001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
002	1.0	0.0	0.0	0.0	1.0	2.0	0.0
003	0.0	0.0	0.0	0.0	0.0	0.0	0.0
004	1.0	1.0	0.0	0.0	0.3330000000000002	2.667	0.0
005	1.0	2.0	0.0	0.0	1.3330000000000002	4.667	0.0
006	1.0	1.0	0.0	0.0	1.0	2.0	0.0
007	1.0	1.0	0.0	0.0	1.0	2.0	0.0
008	0.0	1.0	0.0	0.0	1.0	2.0	0.0
009	0.0	1.0	0.0	0.0	0.3330000000000002	2.667	0.0
010	1.0	0.0	0.0	0.0	1.0	2.0	0.0
011	1.0	0.0	0.0	0.0	1.0	2.0	0.0
012	2.0	0.0	0.0	0.0	2.0	4.0	0.0
013	0.0	2.0	0.0	0.0	1.0	2.0	0.0
014	2.0	1.0	0.0	0.0	1.3330000000000002	4.667	0.0
015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
016	0.0	0.0	0.0	0.0	0.0	0.0	0.0
017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
018	2.0	1.0	1.0	0.0	3.0	6.0	1.0
019	1.0	2.0	1.0	0.0	1.3330000000000002	4.667	1.0
020	1.0	2.0	0.0	1.0	1.3330000000000002	4.667	1.0
021	0.0	0.0	0.0	0.0	0.0	0.0	0.0
022	0.0	2.0	0.0	1.0	2.0	4.0	1.0
023	0.0	4.0	0.0	1.0	1.6660000000000004	7.334	1.0
024	1.0	1.0	0.0	0.0	1.3330000000000002	4.667	0.0
025	1.0	1.0	0.0	0.0	1.3330000000000002	4.667	0.0
026	1.0	2.0	0.0	0.0	2.333	6.667	0.0
027	1.0	0.0	0.0	0.0	1.0	2.0	0.0
028	0.0	1.0	0.0	0.0	1.0	2.0	0.0
029	1.0	3.0	1.0	2.0	0.3330000000000002	5.667	1.0
030	1.0	0.0	0.0	0.0	1.0	2.0	0.0
031	1.0	1.0	1.0	1.0	1.0	2.0	1.0
032	0.0	0.0	0.0	0.0	0.0	0.0	0.0
033	2.0	1.0	1.0	1.0	3.0	6.0	2.0
034	0.0	0.0	0.0	0.0	0.0	0.0	0.0
035	0.0	0.0	0.0	0.0	0.0	0.0	0.0
036	1.0	0.0	0.0	0.0	1.0	2.0	0.0
037	1.0	0.0	0.0	0.0	0.3330000000000002	2.667	0.0
038	1.0	2.0	0.0	2.0	3.0	6.0	2.0
039	1.0	1.0	1.0	1.0	1.0	2.0	1.0
040	2.0	0.0	1.0	0.0	2.0	4.0	1.0
041	1.0	1.0	0.0	0.0	0.0	3.0	0.0
042	1.0	1.0	0.0	1.0	2.0	4.0	1.0
043	0.0	1.0	0.0	1.0	1.0	2.0	1.0
044	2.0	0.0	1.0	0.0	2.0	4.0	1.0
